Category,Subject,Ability Requirement,Detailed Instruction,Product Line,Product,Level,Training Material,Training Document Name,Link,Notes
Basic Operation,Temperature Control System,HVAC or Liquid Cooled Unit Operation,Can preliminarily judge and locate the fault location of HVAC or liquid cooling unit,BESS,ST2752-UX-UD,L2,HVAC LCU Introduction,ST2752UD TECH L1 R01 - HVAC LCU Introduction,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7B97D2F698-A1E3-4944-B853-DF6C6C62C2AB%7D&file=ST2752UD%20HVAC%20LCU%20Introduction.docx&action=default&mobileredirect=true,FSE
Basic Operation,Temperature Control System,HVAC or Liquid Cooled Unit Operation,Able to provide troubleshooting methods for HVAC or liquid cooling unit failures,BESS,ST2752-UX-UD,L3,HVAC LCU Introduction,ST2752UD TECH L1 R01 - HVAC LCU Introduction,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7B97D2F698-A1E3-4944-B853-DF6C6C62C2AB%7D&file=ST2752UD%20HVAC%20LCU%20Introduction.docx&action=default&mobileredirect=true,FSE
Basic Operation,Password Generation,Password Generator Operation,Understanding the role of password generators,BESS,ST2752-UX-UD,L1,Password generator operation MOP,ST2752UD MOP L1 R01 - password generator operation,https://sgusa3.sharepoint.com/:w:/r/sites/AmericasTechnicalTraining/_layouts/15/Doc.aspx?sourcedoc=%7B6046855D-3D73-4A21-A18A-17E69C642C6E%7D&file=ST2752UD%20MOP%20L1%20R01%20-%20Password%20Generator%20Operation.docx&action=default&mobileredirect=true,FSE
Basic Operation,Password Generation,Password Generator Operation,"Be able to correctly obtain the password, log in the account, and successfully log in to the system",BESS,ST2752-UX-UD,L1,Password generator operation MOP,ST2752UD MOP L1 R01 - password generator operation,https://sgusa3.sharepoint.com/:w:/r/sites/AmericasTechnicalTraining/_layouts/15/Doc.aspx?sourcedoc=%7B6046855D-3D73-4A21-A18A-17E69C642C6E%7D&file=ST2752UD%20MOP%20L1%20R01%20-%20Password%20Generator%20Operation.docx&action=default&mobileredirect=true,FSE
Basic Operation,Software Interface,Software interface operation,"Familiar with the basic operation of LC, BSC, BMS, BS, PCS web interface, check the real-time operation data of the system and sub-equipment, modify parameters, view software version information, etc",BESS,ST2752-UX-UD,L1,"LC, BSC, PCS, DCDC parameters introduction",ST2752UD TECH L1 R01 - LC BSC PCS DCDC introduction,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7B79339DA0-E81E-47CC-88CE-465B91C68CA0%7D&file=ST2752UD%20LC%2C%20BSC%2C%20PCS%2C%20DCDC%20Software%20Parameters%20Introduction.docx&action=default&mobileredirect=true,FSE
Basic Operation,Software Interface,Software interface operation,"Familiar with the basic operation of the DC/DC mobile app interface, check the real-time operating data of the system, modify parameters, view software version information, etc.
",BESS,ST2752-UX-UD,L1,,,,FSE
Basic Operation,Software Interface,Software interface operation,Can check and check the correctness of system parameters according to the system configuration file,BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,Software Interface,Software interface operation,"Familiar with the basic operation of the HMI interface of the liquid cooling unit, check the real-time operating data of the system, modify parameters, view software version information, etc.
",BESS,ST2752-UX-UD,L1,HVAC LCU Introduction,ST2752UD TECH L1 R01 - HVAC LCU Introduction,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7B97D2F698-A1E3-4944-B853-DF6C6C62C2AB%7D&file=ST2752UD%20HVAC%20LCU%20Introduction.docx&action=default&mobileredirect=true,FSE
Basic Operation,Wiring Operation,PACK and switch box (DC/DC) wiring operation,"Be able to describe the wiring sequence, precautions and safe operation steps",BESS,ST2752-UX-UD,L1,,,,FSE
Basic Operation,Software Interface,Software interface operation,"Able to judge system operation status and locate fault location based on real-time operation data, fault and alarm information",BESS,ST2752-UX-UD,L3,,,,FSE
Basic Operation,Wiring Operation,PACK and switch box (DC/DC) wiring operation,Able to complete the wiring operation independently,BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,Wiring Operation,PACK and switch box (DC/DC) wiring operation,"Familiar with CAN tool cable connection location, CAN tool driver installation, CMUMonitor software installation and basic knowledge of use",BESS,ST2752-UX-UD,L1,CMUMonitor Installation,ST2752UD MOP L1 R01 - CMUMonitor Installation,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7B70229A70-3FB1-4F16-9304-FE2BE9545EDC%7D&file=CMUMontior%20Installation.docx&action=default&mobileredirect=true,FSE
Basic Operation,CMUMonitor,CMUMonitor Operation,Be able to operate the computer to successfully connect to the CMU and establish normal communication with it,BESS,ST2752-UX-UD,L1,CMU log on MOP,ST2752UD MOP L1 R01 - LC BSC PCS CMU log on ,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7BAEFDDD5C-B3C5-411B-BA01-29639E72C3BA%7D&file=ST2752UD%20LC%2C%20BSC%2C%20PCS%2C%20CMU%20Log%20On%20Operation.docx&action=default&mobileredirect=true,FSE
Basic Operation,CMUMonitor,CMUMonitor Operation,"Familiar with basic operations such as CMUMonitor parameter modification, viewing, software programming, and data export",BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,CMUMonitor,CMUMonitor Operation,Ability to judge and locate battery system faults through CMUMonitor alarms and fault information,BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,CMUMonitor,CMUMonitor Operation,Ability to provide troubleshooting methods for battery systems,BESS,ST2752-UX-UD,L3,,,,FSE
Basic Operation,Replacement operation,Replace PACK operation,Be able to describe the safe procedure for PACK replacement,BESS,ST2752-UX-UD,L1,"Battery Pack Replacement 
MOP, ST2752 Maintenance Instruction Manual",ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Replacement operation,Replace PACK operation,Ability to identify the physical location of the PACK,BESS,ST2752-UX-UD,L1,"Battery Pack Replacement 
MOP, ST2752 Maintenance Instruction Manual",ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Replacement operation,Replace PACK operation,Able to complete the replacement PACK operation independently,BESS,ST2752-UX-UD,L3,"Battery Pack Replacement 
MOP, ST2752 Maintenance Instruction Manual",ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Replacement operation,Replace PACK operation,Be able to describe how to use the replacement PACK tool,BESS,ST2752-UX-UD,L2,"Battery Pack Replacement 
MOP, ST2752 Maintenance Instruction Manual",ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Replacement operation,Replacing the BMU board,Be able to independently complete the operation of replacing the BMU board,BESS,ST2752-UX-UD,L2,ST2752 Maintenance Instruction Manual,ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Replacement operation,Replacing the BMU board,"Be able to describe the method of locating the abnormal BMU, safe operation steps and main matters",BESS,ST2752-UX-UD,L1,ST2752 Maintenance Instruction Manual,ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Replacement operation,Installation and replacement of inter-cluster fuses,"Be able to describe inter-cluster fuse functions, installation requirements and safe operating procedures",BESS,ST2752-UX-UD,L1,,,,FSE
Basic Operation,Replacement operation,Replacement DC/DC operation,Be able to describe the DC/DC replacement process and precautions,BESS,ST2752-UX-UD,L1,DCDC Replacement Operation,ST2752UD MOP L3 R01 - DCDC Replacement,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7BF7C29071-1694-4592-A507-270156A9CF4C%7D&file=ST2752UD%20DCDC%20Replacement%20Operation.docx&action=default&mobileredirect=true,FSE
Basic Operation,Replacement operation,Installation and replacement of inter-cluster fuses,Able to independently complete the installation and replacement of inter-cluster fuses,BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,Replacement operation,Replacement DC/DC operation,Able to complete DC/DC replacement operation independently,BESS,ST2752-UX-UD,L3,DCDC Replacement Operation,ST2752UD MOP L3 R01 - DCDC Replacement,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7BF7C29071-1694-4592-A507-270156A9CF4C%7D&file=ST2752UD%20DCDC%20Replacement%20Operation.docx&action=default&mobileredirect=true,FSE
Basic Operation,Replacement operation,Replacement DC/DC operation,Able to describe faulty DC/DC methods,BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,Replenish electricity,Power up operation,Be able to describe how to use charging gear tools,BESS,ST2752-UX-UD,L2,Manual Recharging MOP,ST2752UD MOP L1 R01 - manual recharge procedure,https://sgusa3.sharepoint.com/:w:/r/sites/AmericasTechnicalTraining/_layouts/15/Doc.aspx?sourcedoc=%7B2C774806-BA24-417F-8907-150D998CFA68%7D&file=ST2752%20MOP%20L2%20R01%20-%20%20Manual%20Recharge%20Procedure.docx&action=default&mobileredirect=true,FSE
Basic Operation,Replenish electricity,Power up operation,Be able to describe safe operating procedures,BESS,ST2752-UX-UD,L1,Manual Recharging MOP,ST2752UD MOP L1 R01 - manual recharge procedure,https://sgusa3.sharepoint.com/:w:/r/sites/AmericasTechnicalTraining/_layouts/15/Doc.aspx?sourcedoc=%7B2C774806-BA24-417F-8907-150D998CFA68%7D&file=ST2752%20MOP%20L2%20R01%20-%20%20Manual%20Recharge%20Procedure.docx&action=default&mobileredirect=true,FSE
Basic Operation,Replenish electricity,Power up operation,Able to complete a power charging operation independently,BESS,ST2752-UX-UD,L3,Manual Recharging MOP,ST2752UD MOP L1 R01 - manual recharge procedure,https://sgusa3.sharepoint.com/:w:/r/sites/AmericasTechnicalTraining/_layouts/15/Doc.aspx?sourcedoc=%7B2C774806-BA24-417F-8907-150D998CFA68%7D&file=ST2752%20MOP%20L2%20R01%20-%20%20Manual%20Recharge%20Procedure.docx&action=default&mobileredirect=true,FSE
Basic Operation,Replenish electricity,Power up operation,Can locate the position of the over-discharge PACK according to the data,BESS,ST2752-UX-UD,L2,Manual Recharging MOP,ST2752UD MOP L1 R01 - manual recharge procedure,https://sgusa3.sharepoint.com/:w:/r/sites/AmericasTechnicalTraining/_layouts/15/Doc.aspx?sourcedoc=%7B2C774806-BA24-417F-8907-150D998CFA68%7D&file=ST2752%20MOP%20L2%20R01%20-%20%20Manual%20Recharge%20Procedure.docx&action=default&mobileredirect=true,FSE
Basic Operation,Fluid injection,Injection and discharge operation,Be able to describe the method of troubleshooting liquid leakage,BESS,ST2752-UX-UD,L1,ST2752 Maintenance Instruction Manual,ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Fluid injection,Injection and discharge operation,Be able to describe how to use the rehydration kit,BESS,ST2752-UX-UD,L2,ST2752 Maintenance Instruction Manual,ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Fluid injection,Injection and discharge operation,Able to independently complete draining and replenishing operations,BESS,ST2752-UX-UD,L3,ST2752 Maintenance Instruction Manual,ST2752UD TECH L1 R01 - maintenance instruction manual,https://sgusa3.sharepoint.com/sites/AmericasTechnicalTraining/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1%2FPower%20Titan%20ST2752UX%20Product%20Maintenance%20Manual%20V1%2E1%2Epdf&viewid=24c98ba5%2Dda70%2D435e%2Dbc43%2D3a8991c8f891&parent=%2Fsites%2FAmericasTechnicalTraining%2FShared%20Documents%2F09%2E%20Service%20Training%2F01%2E%20BESS%20Training%20Library%2FST2752UX%5FUS%2FInternal%2FLevel1,FSE
Basic Operation,Black Start,Black Start Operation,Be able to describe the parameter setting method before start-up and the start-up phase,BESS,ST2752-UX-UD,L2,,,,FSE
Basic Operation,Black Start,Black Start Operation,Be able to describe the black start function,BESS,ST2752-UX-UD,L1,Black Start Function,ST2752UD TECH L1 R01 - Black Start Function,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7BFD9BE17D-03E3-4751-9714-CFF95B26E5E2%7D&file=ST2752UD%20Black%20Start%20Function.docx&action=default&mobileredirect=true,FSE
Basic Operation,Black Start,Black Start Operation,Able to complete black start operation independently,BESS,ST2752-UX-UD,L3,,,,FSE
Basic Operation,Software,Software programming operation,Can capture messages using Xshell ,BESS,ST2752-UX-UD,L1,Capture messages using Xshell,ST2752UD MOP L1 R01 - Capture Message using Xshell,https://sgusa3.sharepoint.com/:w:/r/sites/DMS/_layouts/15/Doc.aspx?sourcedoc=%7B7C815BA8-C8AD-4BE2-BE3B-25B0D901D2B3%7D&file=ST2752UD%20Capture%20Message%20using%20Xshell%20Operation.docx&action=default&mobileredirect=true,FSE
Commissioning,Cold Commissioning,Familiar with product installation inspection items,"Master the inspection requirements of the product installation environment and be able to complete the unqualified judgment
",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with product installation inspection items,Able to complete the inspection report based on the unqualified items in the product installation environment and give suggestions for improvement,BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with product installation inspection items,"Based on the unqualified items in the product installation space, complete the inspection report and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with product installation inspection items,Master the inspection requirements of the product installation space and be able to complete the unqualified judgment,BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with product installation inspection items,"Master the inspection requirements for product installation and fixing bolts, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with product installation inspection items,"Be able to complete the inspection report based on the unqualified items of the product installation fixing bolts, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Can complete the inspection report based on the unqualified items of the virtual connection of the DC input terminal, and give suggestions for improvement
",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Master the inspection requirements for virtual connection of DC input terminals, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Master the inspection requirements for DC input terminal blockage, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Based on the unqualified items blocked by the DC input terminal, the inspection report can be completed and suggestions for improvement can be given
",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Master the inspection requirements for DC cable tension and force, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Grasp the inspection of BCP and the positive and negative polarity of the PCS DC unit connection, and the connection sequence of the battery box across the box, and can complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Can complete the inspection report based on the unqualified items of DC cable tension and force, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Master the inspection of battery-to-ground voltage measurement or DC cable-to-ground insulation resistance measurement records, and be able to complete unqualified judgments",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Based on the unqualified items of the polarity of the BCP and the corresponding PCS DC unit and the connection sequence of the battery box across the box, the inspection report can be completed and suggestions for improvement can be given
",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the inspection requirements of OT/DT terminal specifications and dimensions, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with DC inspection items,"Can complete the inspection report based on the unqualified items of the battery-to-ground voltage measurement data or the ground-to-ground insulation resistance measurement data, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Can complete the inspection report based on the unqualified items of OT/DT terminals, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the inspection requirements of AC OT/DT terminal fixing bolts, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the inspection requirements for AC side incoming line blockage, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Based on the unqualified items of OT/DT terminal fixing bolts, the inspection report can be completed and suggestions for improvement can be given",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Able to complete the inspection report based on the unqualified items of the AC side inlet line blockage, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Based on the unqualified items in the inspection of foreign objects left in the AC wiring area, the inspection report can be completed and suggestions for improvement can be given",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,Master the force inspection requirements of AC cables and be able to complete unqualified judgments,BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the inspection requirements for foreign objects left in the AC wiring area, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Can complete the inspection report based on the unqualified items of the stress inspection of the AC cable, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the inspection requirements of heat-shrinkable sleeves for AC cables, and be able to complete unqualified judgments",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Can complete the inspection report based on the unqualified items of the heat shrinkable sleeve of the AC cable, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Able to check the unqualified items based on the AC cable-to-ground insulation resistance test data, complete the inspection report, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the production and inspection requirements of high-voltage cable heads, and complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Can complete the inspection report based on the unqualified items of the high-voltage cable head inspection, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the inspection requirements for high-voltage cable fixing, and complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Able to check unqualified items based on high-voltage cable fixing requirements, complete the inspection report, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the specification inspection requirements of LC cabinet and battery box BSC, PCS AC cable and communication cable, and complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Able to check unqualified items based on the specifications of LC cabinet and battery box BSC, PCS AC cable and communication cable, complete the inspection report, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the inspection requirements of PCS connected to the power grid system, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Able to complete the inspection report based on the unqualified items connected to the grid system, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Master the molded case circuit breaker or micro-break breaking and protection setting inspection requirements used in conjunction with the battery box and PCS, and be able to complete the unqualified judgment",BESS,ST2752-UX-UD,L2,,,,FSE
Commissioning,Cold Commissioning,Familiar with the inspection items on the AC side,"Able to check unqualified items based on molded case circuit breakers or micro-breaks, complete the inspection report, and give suggestions for improvement",BESS,ST2752-UX-UD,L3,,,,FSE
