Topic,Detail Requirements,Category,Subject,Knowledge Level,Course Name,Course module,Course Level
Safe voltage measurement procedures,Understand DC input-side voltage verification location and method.,Safe Work Practices,Safely Measure Inverter voltage,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Safe voltage measurement procedures,Understand DC busbar voltage verification location and method.,Safe Work Practices,Safely Measure Inverter voltage,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Safe voltage measurement procedures,Understand external power supply metering locations and metering methods,Safe Work Practices,Safely Measure Inverter voltage,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Safe voltage measurement procedures,Understand voltage verification sequence and perform voltage verification correctly.,Safe Work Practices,Safely Measure Inverter voltage,L1,1.2 Operating SG Central Inverters,Voltage Safety Awareness,Course Level 1
Inverter DC input parameters,Understand DC input voltage range.,Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter DC input parameters,Understand Startup DC input voltage.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter DC input parameters,Understand DC input full-load MPPT voltage range.,Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter DC input parameters,Understand DC input MPPT voltage range.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter DC input parameters,Understand difference and reasons between DC input full-load MPPT voltage range and DC input MPPT voltage range.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter DC input parameters,Understand number of MPPTs in inverter's input.,Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter DC input parameters,Understand maximum DC input current.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter DC input parameters,Understand maximum DC short-circuit current requirements.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter DC input parameters,Understand maximum branch DC current.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter DC input parameters,"Understand branch current and busbar current sampling circuits, as well as sampling accuracy.",Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter DC input parameters,Understand busbar voltage sampling circuit and sampling accuracy.,Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter DC input parameters,Understand accuracy of DC power sampling.,Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter DC input parameters,Understand relationship between DC input voltage and number of PV modules in series.,Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter DC input parameters,Understand relationship between DC input voltage and number of PV strings in parallel.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter AC output parameters,"Understand the AC voltage input range of the product, including medium-voltage transformers.",Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter AC output parameters,"Understand the rated output power of the product, including medium-voltage transformers and ring main units.",Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter AC output parameters,"Understand the maximum output power of the product, including medium-voltage transformers and ring main units.",Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter AC output parameters,"Understand the maximum output current of the product, including medium-voltage transformers and ring main units.",Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter AC output parameters,Understand rated grid frequency.,Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter AC output parameters,Understand adjustable range of power factor.,Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter AC output parameters,Understand location and sampling accuracy of AC voltage sampling circuit.,Product Knowledge,Prodcut Specifications,L1,TBD,TBD,TBD
Inverter AC output parameters,Understand location and sampling accuracy of AC current sampling circuit.,Product Knowledge,Prodcut Specifications,L1,TBD,TBD,TBD
Inverter AC output parameters,Understand sampling of AC frequency and its sampling accuracy.,Product Knowledge,Prodcut Specifications,L1,TBD,TBD,TBD
Inverter AC output parameters,Understand the concepts of active and reactive power.,Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter AC output parameters,Understand the role of negative reactive power.,Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter AC output parameters,Understand the role of positive reactive power.,Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter AC output parameters,"Understand the display accuracy of active power, reactive power, and generated power.",Product Knowledge,Prodcut Specifications,L1,TBD,TBD,TBD
Inverter AC output parameters,"Understand the relationship between apparent power, reactive power, active power, and power factor.",Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter efficiency parameters,Understand factors contributing to losses in DC-to-AC conversion of inverters.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter efficiency parameters,Understand the maximum conversion efficiency of the product.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter efficiency parameters,Understand testing methods for maximum conversion efficiency.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter efficiency parameters,Understand the product's Chinese efficiency.,Product Knowledge,Prodcut Specifications,L2,No need,No need,No need
Inverter efficiency parameters,Understand testing methods and calculation methods for Chinese efficiency.,Product Knowledge,Prodcut Specifications,L4,No need,No need,No need
Inverter efficiency parameters,Understand the product's efficiency in Europe.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter efficiency parameters,Understand testing methods and calculation methods for European efficiency.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter common parameters,Understand product's dimensions and weight.,Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter common parameters,Understand Ingress protection rating of product.,Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter common parameters,Understand classification standards and different levels of protection capability for Ingress protection ratings.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter common parameters,Understand corrosion protection rating.,Product Knowledge,Prodcut Specifications,L1,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter common parameters,Understand classification standards and different levels of protection capability for corrosion protection ratings.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter common parameters,Understand Nighttime Standby Power Consumption.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter common parameters,Understand operating temperature range.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter common parameters,Understand operating humidity range.,Product Knowledge,Prodcut Specifications,L2,1.1 Introduction to SG Central Inverters in North America,Technical Specifications,Course Level 1
Inverter common parameters,Understand cooling method and heat dissipation pathway.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter common parameters,Understand conditions for cooling fan startup and operation.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter common parameters,Understand cooling fan speed control strategy.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter common parameters,Understand certificates that the product has obtained.,Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter common parameters,Understand correspondence between different grid standards and countries  ,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter common parameters,Understand product's certification reports.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter common parameters,Understand default protection parameters for different standards.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter common parameters,"Understand specific requirements of different standards, such as UL 1741-2018、IEC/EN 62109-1:2010",Product Knowledge,Prodcut Specifications,L5,TBD,TBD,TBD
Inverter operating parameters,"Understand operating states of the product: Initial standby, Standby, Startup, Running, derated running, Scheduled running, Alarm running, Stopped, Emergency stop, Fault stop, etc.",Product Knowledge,Prodcut Specifications,L2,1.2 Operating SG Central Inverters,Inverter Operation Status,Course Level 1
Inverter operating parameters,Understand the display conditions for each operating state.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,Understand methods for checking grid frequency parameters.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,Understand the meaning of active power limiting parameters of the product and the methods for checking these parameters (Understand the requirements for parameter modification and the performance results after modification).,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter operating parameters,Understand the meaning of apparent power limiting parameters of the product and the methods for checking these parameters (Understand the requirements for parameter modification and the performance results after modification).,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter operating parameters,Understand methods of checking internal temperature parameters of the product.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,Understand sampling locations and accuracy of internal temperature of product.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,Understand the method for checking the negative-to-ground voltage parameters of the product and the meaning of different values..,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,"Understand the meaning of the product's standby time parameters, master the methods for viewing and configuring standby time parameters, and Understand the effects of different settings",Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,"Understand meaning of product's fault recovery time parameters, master methods for checking and configuring fault recovery time parameters, and Understand effects of different settings",Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,Understand Function and Setting Method of Cumulative Electricity Generation Correction.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,Understand Function and usage conditions of fault automatic recovery function.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter operating parameters,Understand impact of disabling automatic fault recovery function and specific details of faults that cannot be automatically recovered.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter protection parameters,Understand the default settings and setup methods of the grid abnormal protection parameters.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter protection parameters,Understand the specific software strategies of the grid abnormal protection.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter protection parameters,Understand maximum grid abnormal protection parameters range supported by inverter.,Product Knowledge,Prodcut Specifications,L5,TBD,TBD,TBD
Inverter protection parameters,Understand purpose and parameter meanings of low voltage ride-through (LVRT) function.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter protection parameters,Understand the standard requirements and correct configuration of low voltage protection parameters.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter protection parameters,Understand active power response during low voltage ride-through (LVRT).,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter protection parameters,Understand purpose and parameter meanings of high voltage ride-through (HVRT) function.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter protection parameters,Understand the standard requirements and correct configuration of high voltage parameters.,Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter protection parameters,Ability to calculate reactive current during high voltage ride-through based on response time and voltage amplitude settings.,Product Knowledge,Prodcut Specifications,L5,TBD,TBD,TBD
Inverter protection parameters,Understand specific software strategies for low voltage and high voltage ride-through functions.,Product Knowledge,Prodcut Specifications,L5,TBD,TBD,TBD
Inverter protection parameters,"Understand fault ride-through control section, ability to understand block diagram of fault ride-through control section.",Product Knowledge,Prodcut Specifications,L5,TBD,TBD,TBD
Inverter protection parameters,Understand single inverter testing methods of HVRT/LVRT and continuous HVRT/LVRT at testing center.,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter protection parameters,Understand on-site testing methods for HVRT/LVRT. ,Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter protection parameters,"Understand functions and parameter meanings of grid overvoltage, undervoltage, overfrequency, and underfrequency protection.",Product Knowledge,Prodcut Specifications,L2,TBD,TBD,TBD
Inverter protection parameters,"Understand protection parameters setting methods of grid overvoltage, undervoltage, overfrequency, and underfrequency and related trip time.",Product Knowledge,Prodcut Specifications,L3,TBD,TBD,TBD
Inverter protection parameters,"Understand maximum allowable range for overvoltage, overfrequency, and underfrequency settings in inverter while ensuring safe operation.",Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter protection parameters,"Understand purpose and objectives of rapid protection functions in inverter, such as transient overvoltage protection and frequency deviation protection.",Product Knowledge,Prodcut Specifications,L4,TBD,TBD,TBD
Inverter protection parameters,Understand the specific software strategies and standards for rapid inverter protection.,Product Knowledge,Prodcut Specifications,L5,TBD,TBD,TBD
Inverter heat dissipation design,"Understand product inlet design, outlet design, and duct design (knowledge of cooling airflow direction).",Product Knowledge,Prodcut Structure,L2,TBD,TBD,TBD
Inverter heat dissipation design,Understand internal fan installation locations.,Product Knowledge,Prodcut Structure,L3,TBD,TBD,TBD
Inverter heat dissipation design,Understand heat calculation for product and air intake requirements.,Product Knowledge,Prodcut Structure,L4,No need,No need,No need
Inverter heat dissipation design,Understand thermal simulation results for product and knowledge of heat source distribution.,Product Knowledge,Prodcut Structure,L5,No need,No need,No need
Inverter surge/lightning protection design,Understand hazards of lightning strikes.,Product Knowledge,Prodcut Structure,L1,TBD,TBD,TBD
Inverter surge/lightning protection design,Understand levels of DC surge protection and AC surge protection.,Product Knowledge,Prodcut Structure,L2,TBD,TBD,TBD
Inverter surge/lightning protection design,Understand different surge protection level requirements and differences.,Product Knowledge,Prodcut Structure,L3,TBD,TBD,TBD
Inverter surge/lightning protection design,Understand DC-side surge protection design and specifications of surge protection devices.,Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter surge/lightning protection design,Understand AC-side surge protection design and specifications of surge protection devices.,Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter surge/lightning protection design,Understand methods for determining protection actions of surge protection circuits and measurement methods for surge protection devices.,Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter filter circuit design,Understand purpose of filtering circuit design and sources of high-frequency noise in inverters.,Product Knowledge,Prodcut Structure,L3,TBD,TBD,TBD
Inverter filter circuit design,Understand composition and function of DC EMI filters.,Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter filter circuit design,Understand working principles of DC EMI filters.,Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter filter circuit design,"Understand sine wave filter, and composition and function of AC EMI filters.",Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter filter circuit design,Understand working principles of AC EMI filters.,Product Knowledge,Prodcut Structure,L5,TBD,TBD,TBD
Inverter filter circuit design,Understand specific EMC (Electromagnetic Compatibility) requirements for products according to standards and testing methods for inverter EMC.,Product Knowledge,Prodcut Structure,L5,TBD,TBD,TBD
Boost circuit topology,Understand Boost topology circuit structure.,Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Boost circuit topology,Understand working principles and equivalent circuit diagram of Boost circuit.,Product Knowledge,Prodcut Structure,L5,TBD,TBD,TBD
Boost circuit topology,Understand operating modes of Boost circuit.,Product Knowledge,Prodcut Structure,L5,TBD,TBD,TBD
Inverter circuit topology,Understand inverter topology circuit structures and pros and cons of different topologies.,Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter circuit topology,Understand working principles of inverter circuits and knowledge of current path during DC-to-AC conversion.,Product Knowledge,Prodcut Structure,L5,TBD,TBD,TBD
Inverter power supply design of the control circuit,"Understand voltage levels of DC power input and output, and Understand components primarily powered by 24V, 12V, 7V, and 5V power supplies.",Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter power supply design of the control circuit,"Understand voltage levels of AC power input and output, and Understand design of DC switching power supplies and AC power supplies.",Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter control system,"Understand functions of ARM, MDSP, SDSP, CPLD, PVD, IO, and TOUCH.",Product Knowledge,Prodcut Structure,L4,TBD,TBD,TBD
Inverter control system,Understand differences and pros and cons of SVPWM and DPWM.,Product Knowledge,Prodcut Structure,L5,TBD,TBD,TBD
Inverter islanding protection function,Understand islanding effects and hazards.,Product Knowledge,Protection Functions,L3,TBD,TBD,TBD
Inverter islanding protection function,Understand requirements for islanding protection in various standards.,Product Knowledge,Protection Functions,L3,TBD,TBD,TBD
Inverter islanding protection function,Understand function and usage requirements of passive islanding protection.,Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter islanding protection function,Understand function and usage requirements of active islanding protection.,Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter insulation monitoring and leakage current monitoring function,"Understand insulation protection strategy after insulation enable switch is set to ""Disable"".",Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter insulation monitoring and leakage current monitoring function,Understand purpose and protection value requirements of DC-side insulation protection.,Product Knowledge,Protection Functions,L3,TBD,TBD,TBD
Inverter insulation monitoring and leakage current monitoring function,"Understand impedance detection strategy for DC-side insulation: single detection duration, fault reporting strategy (floating ground, negative grounding: fixed, control, or no mode).",Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter insulation monitoring and leakage current monitoring function,Understand circuit and principles of DC-side insulation impedance detection.,Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter insulation monitoring and leakage current monitoring function,Understand function and principles of AC-side insulation impedance detection.,Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter insulation monitoring and leakage current monitoring function,Understand principles of leakage current detection and self-test strategies for leakage current sensors.,Product Knowledge,Protection Functions,L5,TBD,TBD,TBD
Inverter ground detection function,Understand function of ground detection and impact of disabling this function.,Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter ground detection function,Understand meaning of ground detection alarm threshold values and their configuration methods.,Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter derating protection function,Understand impact of ambient temperature on product operation.,Product Knowledge,Protection Functions,L2,TBD,TBD,TBD
Inverter derating protection function,Understand relationship between operating temperature (inside inverter) and inverter derating operating characteristics.,Product Knowledge,Protection Functions,L3,TBD,TBD,TBD
Inverter derating protection function,Understand impact of high altitudes on product operation.,Product Knowledge,Protection Functions,L2,TBD,TBD,TBD
Inverter derating protection function,Understand relationship between altitude and product derating operating characteristics.,Product Knowledge,Protection Functions,L3,TBD,TBD,TBD
Inverter derating protection function,Understand impact of high DC voltage on product operation.,Product Knowledge,Protection Functions,L2,TBD,TBD,TBD
Inverter derating protection function,Understand relationship between high DC voltage and product derating operating characteristics.,Product Knowledge,Protection Functions,L3,TBD,TBD,TBD
Inverter derating protection function,Analyzing whether inverter meets derating conditions based on operating data.,Product Knowledge,Protection Functions,L4,TBD,TBD,TBD
Inverter power on/off function,Able to correctly perform start and stop operations.,Product Knowledge,Common Dunctions,L1,1.2 Operating SG Central Inverters,Inverter Operation Procedures,Course Level 1
Inverter MPPT function,Understand common methods and basic principles of MPPT (Maximum Power Point Tracking) functionality.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter MPPT function,Understand hysteresis comparison disturbance method and knowledgeable about working principles of MPPT algorithms.,Product Knowledge,Common Dunctions,L5,No need,No need,No need
Inverter MPPT function,Understand methods of analyzing MPPT misjudgments and strategies for handling them.,Product Knowledge,Common Dunctions,L5,No need,No need,No need
Inverter MPPT function,Understand static and dynamic efficiency testing methods for MPPT.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter power limitation deployment method,"Understand the inverter's active power percentage, actual value detection method.",Product Knowledge,Common Dunctions,L2,2.2 SG Central Inverter Commissioning ,Procedures for Hot Commissioning,Course Level 2
Inverter power limitation deployment method,"Understand the inverter's reactive power percentage, power factor, and actual value detection method.",Product Knowledge,Common Dunctions,L2,2.2 SG Central Inverter Commissioning ,Procedures for Hot Commissioning,Course Level 2
Inverter active power response function,Understand function of active power speed control parameters and ability to correctly configure active power rise and fall rates based on requirements.,Product Knowledge,Common Dunctions,L3,2.2 SG Central Inverter Commissioning ,Procedures for Hot Commissioning,Course Level 2
Inverter active power response function,Understand principles and usage requirements of 0% power limitation function.,Product Knowledge,Common Dunctions,L3,2.2 SG Central Inverter Commissioning ,Procedures for Hot Commissioning,Course Level 2
Inverter active power response function,Understand function and usage requirements of rapid dispatching.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter active power response function,Understand maximum rise and fall rates of active power in inverter.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter active power response function,Understand testing methods for active power response speed.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter active power response function,Understand steady-state operation of active power control in inverter and ability to understand block diagram of active power control section.,Product Knowledge,Common Dunctions,L5,No need,No need,No need
Inverter reactive power response function,Understand functionality of reactive power speed control parameters and ability to correctly configure reactive power rise and fall rates based on requirements.,Product Knowledge,Common Dunctions,L3,2.2 SG Central Inverter Commissioning ,Procedures for Hot Commissioning,Course Level 2
Inverter reactive power response function,Understand role and usage requirements of closed-loop reactive power control functionality.,Product Knowledge,Common Dunctions,L4,2.2 SG Central Inverter Commissioning ,Procedures for Hot Commissioning,Course Level 2
Inverter reactive power response function,Understand reactive power regulation modes and their usage methods.,Product Knowledge,Common Dunctions,L3,No need,No need,No need
Inverter reactive power response function,Understand maximum rise and fall rates of reactive power in inverter.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter reactive power response function,Understand testing methods for reactive power response speed.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter reactive power response function,Understand steady-state operation of reactive power control in inverter and ability to understand block diagram of reactive power control section.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
"Inverter Static Var Generator function (SVG function, or nighttime reactive power function)",Understand working principles of inverter output reactive power.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
"Inverter Static Var Generator function (SVG function, or nighttime reactive power function)",Understand usage methods of nighttime reactive power function.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
"Inverter Static Var Generator function (SVG function, or nighttime reactive power function)",Understand power loss associated with nighttime reactive power.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter PID repair function for module,Understand PID (Proportional-Integral-Derivative) response phenomena and causes.,Product Knowledge,Common Dunctions,L3,No need,No need,No need
Inverter PID repair function for module,Understand usage methods of PID function.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Inverter PID repair function for module,Understand on-site determination of operation of PID function.,Product Knowledge,Common Dunctions,L4,TBD,TBD,TBD
Inverter PID repair function for module,Understand design principles and function of DC PID and its usage requirements.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter PID repair function for module,Understand working principles of PID repair and PID protection functions.,Product Knowledge,Common Dunctions,L4,No need,No need,No need
Inverter over-frequency derating function,"Understand overfrequency derating operating function, its purpose, and parameter meanings.",Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Inverter over-frequency derating function,Ability to configure overfrequency derating operating function according to standard requirements.,Product Knowledge,Common Dunctions,L4,TBD,TBD,TBD
Inverter communication interruption configuration function,"Understand communication interruption configuration function, its purpose, and usage requirements.",Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Inverter communication interruption configuration function,Understand meaning of communication interruption detection time parameter and its configuration methods.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Inverter communication interruption configuration function,Understand parameter meaning of pre-set power limit parameters and its configuration methods.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Inverter communication interruption configuration function,Understand function of pre-set reactive power regulation mode and its corresponding parameter settings.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Panoramic monitoring,Knowledge of whether the product supports panoramic monitoring and the hardware and software compatibility requirements for it.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Panoramic monitoring,Understanding the purpose and specific requirements of panoramic monitoring function.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Panoramic monitoring,Understand detailed support solutions for product panoramic monitoring applications.,Product Knowledge,Common Dunctions,L4,TBD,TBD,TBD
Panoramic monitoring,Understand on-site debugging of panoramic monitoring function.,Product Knowledge,Common Dunctions,L4,TBD,TBD,TBD
AGC/AVC debugging,Understand the purpose and requirements of AGC/AVC tuning for the product.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
AGC/AVC debugging,Understand the on-site AGC/AVC tuning testing plan.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
AGC/AVC debugging,Understand how on-site grid voltage and DC voltage can impact AGC/AVC tuning.,Product Knowledge,Common Dunctions,L4,TBD,TBD,TBD
Primary frequency control,Understand whether product supports primary frequency adjustment and hardware and software compatibility requirements for it.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Primary frequency control,Understand the purpose and specific requirements of primary frequency adjustment.,Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
Primary frequency control,Understand detailed support solutions for primary frequency adjustment applications.,Product Knowledge,Common Dunctions,L4,TBD,TBD,TBD
Primary frequency control,Understand on-site testing methods for primary frequency adjustment.,Product Knowledge,Common Dunctions,L4,TBD,TBD,TBD
IEC 104 forwarding functionality,Understand the function locations of IEC104.,Product Knowledge,Common Dunctions,L2,TBD,TBD,TBD
IEC 104 forwarding functionality,"Understand the generation, export, and configuration methods of IEC104 point tables.",Product Knowledge,Common Dunctions,L3,TBD,TBD,TBD
